0	0	None
0	1	-126.5281797580566
0	2	-348.2628464736666
0	3	-620.2677387858854
0	4	-954.8841857106897
0	5	-1354.454658636887
0	6	-1819.7169623588497
0	7	-2350.9694686701578
0	8	-2948.352997475692
0	9	-3611.9414866165503
0	10	-4341.776934453284
1	0	-279.3169251262763
1	1	None
1	2	-1292.3381379061789
1	3	-2659.1380527132005
1	4	-4190.7833314857335
1	5	-5985.6612403338295
1	6	-8063.081969578108
1	7	-10429.326477449342
1	8	-13087.011343622537
1	9	-16037.405103890302
1	10	-19281.190048447337
2	0	-840.2426065593337
2	1	-1827.0987466949464
2	2	None
2	3	-5527.753567973373
2	4	-9895.992639991833
2	5	-14484.972383763705
2	6	-19675.337852129524
2	7	-25542.5975789202
2	8	-32111.619700396255
2	9	-39392.90078902761
2	10	-47391.596751617853	0	-1669.2716105568334
3	1	-4197.938988207412
3	2	-6811.1790290664185
3	3	Indeterminate
3	4	-16210.121939840656
3	5	-26576.558035019112
3	6	-36944.079659127194
3	7	-48355.11927014043
3	8	-61017.31551714025
3	9	-74999.42981739821
3	10	-90330.67185319755
