0 0 0 0 -2.95431363114331e+00 
0 0 1 1 -3.28257070127034e+00 
0 0 2 2 -3.32733302901494e+00 
0 0 3 3 -3.34523796011278e+00 
0 0 4 4 -3.35419042566169e+00 
1 1 0 0 -6.73645401489654e+00 
1 1 1 1 -5.66989484764877e+00 
1 1 2 2 -6.30817248400689e+00 
1 1 3 3 -6.36896083032671e+00 
1 1 4 4 -6.39935500348663e+00 
2 2 0 0 -1.34289746340438e+01 
2 2 1 1 -1.03203691275141e+01 
2 2 2 2 -9.76564783627927e+00 
2 2 3 3 -1.06967595154999e+01 
2 2 4 4 -1.07590399394112e+01 
3 3 0 0 -2.21295995903732e+01 
3 3 1 1 -1.78431590855507e+01 
3 3 2 2 -1.53500253225417e+01 
3 3 3 3 -1.51583146674298e+01 
3 3 4 4 -1.63874881872964e+01 
4 4 0 0 -3.28446729767552e+01 
4 4 1 1 -2.70780472914717e+01 
4 4 2 2 -2.39914582187364e+01 
4 4 3 3 -2.16894440691690e+01 
4 4 4 4 -2.18327424642270e+01 
