0 6.44577522287092e+01
1 1.14926374366801e+03
2 7.26580400340424e+03
3 2.86246248026986e+04
4 8.66209992207583e+04
5 2.19995849696306e+05
6 4.92439050549091e+05
7 1.00159047955150e+06
8 1.88943898429975e+06
9 3.35411929513719e+06
10 5.66310689306063e+06
11 9.16781083537088e+06
12 1.43195645401260e+07
13 2.16870145298541e+07
14 3.19749071347675e+07
15 4.60442731556192e+07
16 6.49340104863469e+07
17 8.98838646966342e+07
18 1.22358807574586e+08
19 1.64074813629832e+08
20 2.17026034557360e+08
21 2.83513371662791e+08
22 3.66174446249744e+08
23 4.68014967970448e+08
24 5.92441501141261e+08
25 7.43295629024860e+08
26 9.24889516082365e+08
27 1.14204286819908e+09
28 1.40012129088719e+09
29 1.70507604547561e+09
